code;position;name;synonyms
136;2.1.1.3.2.1.;angelika, archangelika, benedikt lekársky, mäta;
137;2.1.1.3.3.;okrasné rastliny;
138;2.1.1.3.3.1.;jednoletky (aksamietnica, fuksia, petúnia, begónia, šalvia ohnivá);
139;2.1.1.3.3.2.;trvalky (lomikameň, prvosienka, karafiát, nátržník rozchodník);
140;2.1.1.3.3.3.;cibuľovité, hľuzovité (tulipán, haycint, narcis, iris, kosatec, dália);
141;2.1.1.3.3.4.;okrasné kry (vtáči zob, bršlen, ruža, orgován, drieň, slez, hlohyňa, imelovník);
142;2.1.1.3.4.;miešané kultúry oráčin;
143;2.1.1.3.4.1.;obilnina s bôbovitou;
144;2.1.1.3.4.2.;obilnina s obilninou;
145;2.1.1.3.4.3.;obilnina s olejnatou;
146;2.1.1.3.4.4.;iné;
147;2.1.1.4.;strniská;
148;2.1.1.4.1.;strnisko obilniny;
149;2.1.1.4.2.;strnisko kukurice;
150;2.1.1.4.3.;strnisko slnečnice;
151;2.1.1.4.4.;iné strnisko;
152;2.1.1.5.;plochy pripravené pred sejbou;
153;2.1.1.5.1.;oráčina;
154;2.1.1.5.2.;spracovaná oráčina;
155;2.1.1.6.;úhor (viac rokov neobrábaná pôda);
156;2.1.1.7.;prieloh (viac rokov neobrábaný TTP);
157;2.1.1.8.;skleníky;
158;2.1.1.9.;malé parcely (oráčiny do 0.5 ha);
159;2.1.3.;ryžové polia;
160;2.2.;trvalé plodiny;
161;2.2.1.;vinohrady;
162;2.2.2.;ovocné sady a plantáže;
163;2.4.;heterogénne poľnohospodárske areály;
164;2.4.2.;mozaika polí, lúk a trvalých kultúr;
165;2.4.2.1.;mozaika polí, lúk a trvalých kultúr bez budov;
166;2.4.2.2.;mozaika polí, lúk a trvalých kultúr s budovami;zahrada
167;2.4.2.3.;samota (sídlo);
168;3.;lesy a poloprírodné areály;
169;3.1.;lesná a nelesná drevinová vegetácia;
170;3.1.1.;listnaté lesy;
171;3.1.1.1.;prírodné, prírode blízke, prirodzené;les
172;3.1.1.2.;listnaté kultúry;les
173;3.1.2.;ihličnaté lesy;
174;3.1.2.1.;prírodné, prírode blízke, prirodzené;les
175;3.1.2.2.;ihličnaté kultúry;les
176;3.1.3.;zmiešané lesy;
177;3.1.3.1.;prírodné, prírode blízke, prirodzené;
178;3.1.3.2.;zmiešané kultúry;
179;3.1.4.;nelesná drevinová vegetácia;
180;3.1.4.1.;stromoradie;
181;3.1.4.2.;pás stromov;
182;3.1.4.3.;skupina stromov;
183;3.1.4.4.;pasienok so stromami;
184;3.2.;kroviny a trávne areály;
185;3.2.1.;prirodzené lúky;
186;3.2.1.1.;prirodzené lúky bez stromov a krovín;
187;3.2.1.2.;prirodzené lúky so stromami a krovinami;
188;3.2.4.;prechodné lesokroviny;
189;4.;zamokrené areály;
190;4.1.;vnútrozemské vody;
191;4.1.1.;močiare;
192;4.1.2.;rašeliniská;
193;5.;vody;
194;5.1.;vnútrozemské vody;
195;5.1.1.;vodné toky;
196;5.1.1.1.;prirodzené toky;
197;5.1.1.2.;umelé toky;kanal
198;5.1.1.3.;periodické toky;
199;5.1.2.;plochy stojatých vôd;
200;5.1.2.1.;prirodzené a umelé jazerá;
201;5.1.2.2.;rybníky;
202;6.;líniové objekty;
203;6.1.;elektrické vedenia;
204;6.1.1.;elektrické vedenia stredného napätia;
205;6.1.2.;elektrické vedenia vysokého napätia;
206;6.2.;turistické chodníky, cyklotrasy, jazdecké trasy;
207;6.3.;lineáry, veľkokapacitné mobilné zavlažovacie systémy;
208;7.;periodicky používané bodové objekty;
209;7.1.;rybárske stanovištia;
210;7.2.;poľovnícke stanovištia, posedy;
211;7.3.;turistické zastávky, výhliadkové body;
212;7.4.;včelársky stacionár;
213;7.5.;pravidelne používané zastávky, oddychové miesta;
214;7.6.;občasné skládky (dreva, stohy);
1;0.;nezaradené (neznáme);
